nSheetID,strLotName,strGrade_Final,Endtime,time
1,20221022_101,A,2022-10-22 6:53,
2,20221022_101,B,2022-10-22 6:53,0:09
3,20221022_101,B,2022-10-22 6:54,0:30
4,20221022_101,A,2022-10-22 6:54,0:10
5,20221022_101,B,2022-10-22 6:54,0:31
6,20221022_101,B,2022-10-22 6:55,0:10
7,20221022_101,B,2022-10-22 6:55,0:33
8,20221022_101,B,2022-10-22 6:55,0:10
9,20221022_101,B,2022-10-22 6:56,0:32
10,20221022_101,B,2022-10-22 6:56,0:10
11,20221022_101,B,2022-10-22 6:57,0:27
12,20221022_101,A,2022-10-22 6:57,0:10
13,20221022_101,A,2022-10-22 6:58,0:52
14,20221022_101,A,2022-10-22 6:58,0:10
15,20221022_101,B,2022-10-22 6:58,0:29
16,20221022_101,B,2022-10-22 6:58,0:10
17,20221022_101,A,2022-10-22 6:59,0:30
18,20221022_101,A,2022-10-22 6:59,0:10
19,20221022_101,B,2022-10-22 6:59,0:28
20,20221022_101,B,2022-10-22 7:00,0:09
21,20221022_101,A,2022-10-22 7:00,0:39
22,20221022_101,A,2022-10-22 7:00,0:10
23,20221022_101,B,2022-10-22 7:01,0:27
24,20221022_101,B,2022-10-22 7:01,0:10
25,20221022_101,A,2022-10-22 7:02,0:33
26,20221022_101,A,2022-10-22 7:02,0:10
27,20221022_101,A,2022-10-22 7:02,0:25
28,20221022_101,B,2022-10-22 7:02,0:09
29,20221022_101,A,2022-10-22 7:03,0:35
30,20221022_101,A,2022-10-22 7:03,0:10
31,20221022_101,A,2022-10-22 7:04,0:26
32,20221022_101,B,2022-10-22 7:04,0:09
33,20221022_101,B,2022-10-22 7:07,3:13
34,20221022_101,B,2022-10-22 7:07,0:00
35,20221022_101,B,2022-10-22 7:07,0:00
36,20221022_101,B,2022-10-22 7:07,0:19
37,20221022_101,A,2022-10-22 7:08,0:41
38,20221022_101,A,2022-10-22 7:08,0:10
39,20221022_101,A,2022-10-22 7:09,0:29
40,20221022_101,A,2022-10-22 7:09,0:09
41,20221022_101,A,2022-10-22 7:09,0:35
42,20221022_101,A,2022-10-22 7:09,0:09
43,20221022_101,B,2022-10-22 7:12,2:26
44,20221022_101,A,2022-10-22 7:12,0:09
45,20221022_101,A,2022-10-22 7:13,0:53
46,20221022_101,A,2022-10-22 7:13,0:09
47,20221022_101,A,2022-10-22 7:13,0:26
48,20221022_101,A,2022-10-22 7:14,0:10
49,20221022_101,A,2022-10-22 7:14,0:33
50,20221022_101,A,2022-10-22 7:14,0:09
51,20221022_101,B,2022-10-22 7:16,2:01
52,20221022_101,A,2022-10-22 7:17,0:11
53,20221022_101,A,2022-10-22 7:17,0:43
54,20221022_101,A,2022-10-22 7:17,0:09
,,,,
,,,,
55,20221022_101,B,2022-10-22 7:23,5:38
56,20221022_101,B,2022-10-22 7:23,0:00
57,20221022_101,A,2022-10-22 7:23,0:00
58,20221022_101,B,2022-10-22 7:24,0:38
59,20221022_101,A,2022-10-22 7:24,0:00
60,20221022_101,A,2022-10-22 7:24,0:17
61,20221022_101,A,2022-10-22 7:24,0:30
62,20221022_101,A,2022-10-22 7:25,0:10
63,20221022_101,B,2022-10-22 7:25,0:30
64,20221022_101,A,2022-10-22 7:25,0:10
65,20221022_101,A,2022-10-22 7:27,1:54
66,20221022_101,A,2022-10-22 7:27,0:11
67,20221022_101,A,2022-10-22 7:28,0:35
68,20221022_101,B,2022-10-22 7:28,0:10
69,20221022_101,A,2022-10-22 7:29,0:34
70,20221022_101,A,2022-10-22 7:29,0:09
71,20221022_101,A,2022-10-22 7:29,0:32
72,20221022_101,A,2022-10-22 7:30,0:10
73,20221022_101,A,2022-10-22 7:30,0:42
74,20221022_101,A,2022-10-22 7:30,0:11
75,20221022_101,A,2022-10-22 7:31,0:37
76,20221022_101,A,2022-10-22 7:31,0:10
77,20221022_101,A,2022-10-22 7:32,0:29
78,20221022_101,A,2022-10-22 7:32,0:10
79,20221022_101,A,2022-10-22 7:32,0:31
80,20221022_101,A,2022-10-22 7:33,0:10
81,20221022_101,A,2022-10-22 7:34,1:36
82,20221022_101,B,2022-10-22 7:35,0:51
83,20221022_101,A,2022-10-22 7:35,0:00
84,20221022_101,A,2022-10-22 7:35,0:08
85,20221022_101,A,2022-10-22 7:36,0:47
86,20221022_101,A,2022-10-22 7:36,0:10
87,20221022_101,A,2022-10-22 7:37,0:26
88,20221022_101,A,2022-10-22 7:37,0:10
89,20221022_101,A,2022-10-22 7:37,0:26
90,20221022_101,A,2022-10-22 7:37,0:10
91,20221022_101,A,2022-10-22 7:38,0:29
92,20221022_101,A,2022-10-22 7:38,0:10
93,20221022_101,A,2022-10-22 7:38,0:32
94,20221022_101,A,2022-10-22 7:39,0:11
95,20221022_101,B,2022-10-22 7:39,0:25
96,20221022_101,A,2022-10-22 7:39,0:10
97,20221022_101,A,2022-10-22 7:40,0:35
98,20221022_101,A,2022-10-22 7:40,0:10
99,20221022_101,B,2022-10-22 7:40,0:25
100,20221022_101,A,2022-10-22 7:41,0:10
101,20221022_101,A,2022-10-22 7:41,0:43
102,20221022_101,A,2022-10-22 7:41,0:10
103,20221022_101,A,2022-10-22 7:42,0:20
104,20221022_101,A,2022-10-22 7:42,0:09
105,20221022_101,A,2022-10-22 7:43,0:43
106,20221022_101,A,2022-10-22 7:43,0:10
107,20221022_101,A,2022-10-22 7:43,0:25
108,20221022_101,A,2022-10-22 7:43,0:10
109,20221022_101,A,2022-10-22 7:44,0:34
110,20221022_101,A,2022-10-22 7:44,0:09
111,20221022_101,A,2022-10-22 7:45,0:28
112,20221022_101,A,2022-10-22 7:45,0:17
113,20221022_101,A,2022-10-22 7:45,0:31
114,20221022_101,A,2022-10-22 7:46,0:10
115,20221022_101,A,2022-10-22 7:46,0:23
116,20221022_101,A,2022-10-22 7:46,0:10
117,20221022_101,A,2022-10-22 7:47,0:29
118,20221022_101,A,2022-10-22 7:47,0:15
119,20221022_101,A,2022-10-22 7:49,1:49
120,20221022_101,A,2022-10-22 7:49,0:10
121,20221022_101,A,2022-10-22 7:49,0:40
122,20221022_101,A,2022-10-22 7:50,0:09
123,20221022_101,A,2022-10-22 7:55,5:39
124,20221022_101,B,2022-10-22 7:55,0:10
125,20221022_101,A,2022-10-22 7:56,0:31
126,20221022_101,A,2022-10-22 7:56,0:10
127,20221022_101,A,2022-10-22 7:57,0:47
128,20221022_101,A,2022-10-22 7:57,0:10
129,20221022_101,A,2022-10-22 7:59,1:28
130,20221022_101,A,2022-10-22 7:59,0:09
131,20221022_101,A,2022-10-22 7:59,0:28
132,20221022_101,A,2022-10-22 7:59,0:10
133,20221022_101,A,2022-10-22 8:00,1:03
134,20221022_101,A,2022-10-22 8:01,0:10
135,20221022_101,A,2022-10-22 8:01,0:28
,,,,
,,,,
136,20221022_101,A,2022-10-22 8:01,0:10
137,20221022_101,B,2022-10-22 8:19,17:44
138,20221022_101,B,2022-10-22 8:19,0:00
139,20221022_101,B,2022-10-22 8:19,0:00
140,20221022_101,B,2022-10-22 8:22,3:33
141,20221022_101,A,2022-10-22 8:22,0:00
142,20221022_101,A,2022-10-22 8:23,0:09
143,20221022_101,A,2022-10-22 8:23,0:30
144,20221022_101,A,2022-10-22 8:23,0:10
145,20221022_101,A,2022-10-22 8:24,0:27
146,20221022_101,B,2022-10-22 8:24,0:10
147,20221022_101,A,2022-10-22 8:26,2:09
148,20221022_101,A,2022-10-22 8:26,0:10
149,20221022_101,A,2022-10-22 8:27,0:27
150,20221022_101,A,2022-10-22 8:27,0:10
151,20221022_101,A,2022-10-22 8:27,0:36
152,20221022_101,A,2022-10-22 8:28,0:10
153,20221022_101,A,2022-10-22 8:28,0:36
154,20221022_101,B,2022-10-22 8:28,0:10
155,20221022_101,A,2022-10-22 8:29,0:47
156,20221022_101,A,2022-10-22 8:29,0:10
157,20221022_101,A,2022-10-22 8:30,0:30
158,20221022_101,B,2022-10-22 8:30,0:11
159,20221022_101,A,2022-10-22 8:31,0:51
160,20221022_101,A,2022-10-22 8:31,0:10
161,20221022_101,A,2022-10-22 8:31,0:28
162,20221022_101,B,2022-10-22 8:32,0:10
163,20221022_101,A,2022-10-22 8:32,0:31
164,20221022_101,A,2022-10-22 8:32,0:10
165,20221022_101,A,2022-10-22 8:33,0:26
166,20221022_101,A,2022-10-22 8:33,0:10
167,20221022_101,A,2022-10-22 8:33,0:33
168,20221022_101,A,2022-10-22 8:34,0:10
169,20221022_101,A,2022-10-22 8:34,0:28
170,20221022_101,A,2022-10-22 8:34,0:09
171,20221022_101,A,2022-10-22 8:35,0:28
172,20221022_101,A,2022-10-22 8:35,0:09
173,20221022_101,B,2022-10-22 8:35,0:28
174,20221022_101,A,2022-10-22 8:36,0:09
175,20221022_101,A,2022-10-22 8:36,0:34
176,20221022_101,A,2022-10-22 8:36,0:10
177,20221022_101,A,2022-10-22 8:37,0:26
178,20221022_101,B,2022-10-22 8:37,0:10
179,20221022_101,A,2022-10-22 8:37,0:35
180,20221022_101,A,2022-10-22 8:38,0:10
181,20221022_101,B,2022-10-22 8:38,0:31
182,20221022_101,B,2022-10-22 8:38,0:12
183,20221022_101,A,2022-10-22 8:39,0:33
184,20221022_101,A,2022-10-22 8:39,0:09
185,20221022_101,A,2022-10-22 8:40,0:32
186,20221022_101,A,2022-10-22 8:42,1:59
187,20221022_101,A,2022-10-22 8:42,0:26
188,20221022_101,A,2022-10-22 8:42,0:10
189,20221022_101,A,2022-10-22 8:43,0:35
190,20221022_101,B,2022-10-22 8:43,0:09
191,20221022_101,A,2022-10-22 8:43,0:27
192,20221022_101,A,2022-10-22 8:43,0:09
193,20221022_101,A,2022-10-22 8:44,0:36
194,20221022_101,A,2022-10-22 8:44,0:10
195,20221022_101,A,2022-10-22 8:45,0:32
196,20221022_101,A,2022-10-22 8:45,0:10
197,20221022_101,A,2022-10-22 8:45,0:22
198,20221022_101,A,2022-10-22 8:45,0:09
199,20221022_101,A,2022-10-22 8:46,0:27
200,20221022_101,A,2022-10-22 8:46,0:11
201,20221022_101,A,2022-10-22 8:46,0:24
202,20221022_101,A,2022-10-22 8:47,0:10
203,20221022_101,A,2022-10-22 8:47,0:38
204,20221022_101,A,2022-10-22 8:48,0:18
205,20221022_101,A,2022-10-22 8:48,0:23
206,20221022_101,A,2022-10-22 8:48,0:12
207,20221022_101,A,2022-10-22 8:49,0:31
208,20221022_101,A,2022-10-22 8:49,0:09
209,20221022_101,A,2022-10-22 8:49,0:20
210,20221022_101,A,2022-10-22 8:49,0:10
211,20221022_101,B,2022-10-22 8:50,0:31
212,20221022_101,A,2022-10-22 8:50,0:09
213,20221022_101,A,2022-10-22 8:50,0:30
214,20221022_101,A,2022-10-22 8:51,0:16
215,20221022_101,A,2022-10-22 8:51,0:33
216,20221022_101,A,2022-10-22 8:51,0:10
217,20221022_101,A,2022-10-22 8:52,0:27
218,20221022_101,A,2022-10-22 8:52,0:12
219,20221022_101,A,2022-10-22 8:54,1:34
220,20221022_101,A,2022-10-22 8:54,0:10
221,20221022_101,A,2022-10-22 8:54,0:32
222,20221022_101,B,2022-10-22 8:55,0:10
223,20221022_101,A,2022-10-22 8:56,1:04
224,20221022_101,A,2022-10-22 8:56,0:09
225,20221022_101,A,2022-10-22 8:57,1:26
226,20221022_101,A,2022-10-22 8:57,0:09
227,20221022_101,A,2022-10-22 8:58,0:51
228,20221022_101,A,2022-10-22 8:58,0:09
229,20221022_101,A,2022-10-22 8:59,0:56
230,20221022_101,A,2022-10-22 8:59,0:08
231,20221022_101,A,2022-10-22 9:04,4:56
232,20221022_101,A,2022-10-22 9:05,0:09
233,20221022_101,A,2022-10-22 9:06,1:23
234,20221022_101,A,2022-10-22 9:06,0:15
235,20221022_101,B,2022-10-22 9:07,0:28
236,20221022_101,A,2022-10-22 9:07,0:09
237,20221022_101,A,2022-10-22 9:08,0:50
238,20221022_101,A,2022-10-22 9:08,0:11
239,20221022_101,A,2022-10-22 9:08,0:36
240,20221022_101,A,2022-10-22 9:09,0:10
241,20221022_101,A,2022-10-22 9:09,0:28
242,20221022_101,A,2022-10-22 9:09,0:10
243,20221022_101,A,2022-10-22 9:10,0:39
244,20221022_101,A,2022-10-22 9:10,0:13
245,20221022_101,A,2022-10-22 9:11,1:09
246,20221022_101,A,2022-10-22 9:11,0:09
247,20221022_101,A,2022-10-22 9:12,0:53
248,20221022_101,A,2022-10-22 9:12,0:08
249,20221022_101,A,2022-10-22 9:14,1:18
250,20221022_101,A,2022-10-22 9:14,0:10
251,20221022_101,A,2022-10-22 9:14,0:24
252,20221022_101,A,2022-10-22 9:14,0:10
253,20221022_101,A,2022-10-22 9:15,0:37
254,20221022_101,A,2022-10-22 9:15,0:09
255,20221022_101,A,2022-10-22 9:16,0:39
256,20221022_101,A,2022-10-22 9:16,0:11
257,20221022_101,A,2022-10-22 9:17,1:05
258,20221022_101,A,2022-10-22 9:17,0:09
259,20221022_101,A,2022-10-22 9:18,0:37
260,20221022_101,A,2022-10-22 9:18,0:14
261,20221022_101,A,2022-10-22 9:19,0:51
262,20221022_101,A,2022-10-22 9:19,0:09
263,20221022_101,A,2022-10-22 9:20,0:31
264,20221022_101,A,2022-10-22 9:20,0:10
265,20221022_101,A,2022-10-22 9:21,0:59
266,20221022_101,A,2022-10-22 9:21,0:09
267,20221022_101,A,2022-10-22 9:22,0:44
268,20221022_101,A,2022-10-22 9:22,0:09
269,20221022_101,A,2022-10-22 9:23,1:11
270,20221022_101,A,2022-10-22 9:23,0:07
271,20221022_101,A,2022-10-22 9:24,0:40
