date,time,appliedcurrent,voltage,Cl,TOC,A,B,C,D,activatedcarbon,tensilestrength,elongation,glossiness,Mside,Sside,Curl
05월 13일,3,1.3,,,,358,"1,090","1,272",373,2.4,34.8,7.9,115,1.39,0.22,
05월 13일,7,1.3,,,,358,"1,090","1,272",373,2.4,35.8,7.6,127,1.47,0.23,
05월 13일,11,1.3,,34,43.3,358,"1,090","1,272",373,2.4,36.4,8.6,154,1.3,0.25,
05월 13일,15,1.3,,,,358,"1,090","1,272",373,2.4,36.7,10.3,176,1.26,0.25,
05월 13일,19,1.3,,,,358,"1,090","1,272",373,2.4,36.7,9.6,260,1.05,0.25,
05월 13일,23,1.3,,,,287,872,"1,017",299,2.4,36.5,11.3,250,1.08,0.24,
05월 14일,3,1.3,,,,287,872,"1,017",299,2.4,36.8,13.3,261,1.08,0.25,
05월 14일,7,1.3,,,,287,872,"1,017",299,2.4,36,8.5,310,1.33,0.27,
05월 14일,11,1.3,,37.4,71.3,179,545,636,187,2.4,33.8,7.3,296,0.95,0.43,
05월 14일,15,1.3,,,,179,545,636,187,2.4,33.8,7,286,2.42,0.28,
05월 14일,19,1.3,,,,179,545,636,187,2.4,36.4,9.9,260,1,0.27,
05월 14일,23,1.3,,,,179,545,636,187,2.4,36.4,11.3,241,1.04,0.25,
05월 15일,3,1.3,,,,179,545,636,187,2.4,36,11.5,271,0.95,0.25,
05월 15일,7,1.3,,,,179,545,636,187,2.4,33,8.6,283,0.9,0.27,
05월 15일,11,1.3,,38.1,86,179,545,636,187,2.4,35.2,10.6,238,1,0.26,
05월 15일,15,1.3,,,,179,545,636,187,2.4,34.3,7.5,255,1.03,0.29,
05월 15일,19,1.3,,,,179,545,636,187,2.4,37.3,10.5,240,1.13,0.26,
05월 15일,23,1.3,,,,143,436,509,187,2.4,34.8,7.8,234,1.09,0.26,
05월 16일,3,1.3,,,,143,436,509,187,2.4,36.6,13.6,294,0.93,0.24,
05월 16일,7,1.3,,,,143,436,509,187,2.4,36.3,12.4,268,1.04,0.25,
05월 16일,11,1.3,,36.1,83.3,107,327,381,112,2.4,35.6,15.5,194,1.18,0.25,
05월 16일,19,1.3,,,,215,654,763,224,2.4,35.3,13.4,165,1.01,0.27,1
05월 16일,23,1.3,,,,179,545,636,187,2.4,35,12.8,236,1.1,0.27,2
05월 17일,3,1.3,,,,179,545,636,187,2.4,37,16.7,287,1.12,0.31,2
05월 17일,7,1.3,,,,179,545,636,187,2.4,36.2,13.8,280,1.09,0.28,0
05월 17일,11,1.3,,31.4,,143,436,509,149,2.4,35.7,12,283,1.12,0.27,0
05월 17일,15,1.3,,,,143,436,509,149,2.4,35.2,10.2,283,1.07,0.3,0
05월 17일,19,1.3,,,,143,436,509,149,3.5,35.6,10.6,287,1.22,0.27,0
05월 17일,23,1.3,,21.8,43,143,436,509,149,3.5,33.4,6.7,250,1.24,0.31,0
05월 18일,3,1.3,,,,143,436,509,149,3.5,36.4,9.5,270,1.33,0.29,0
05월 18일,7,1.3,,,,143,436,509,149,3.5,35.9,10.1,267,1.14,0.27,2
05월 18일,11,1.3,,13.8,42.3,143,436,509,149,3.5,35.8,12.1,241,1.25,0.27,0
05월 18일,15,1.3,,22.2,,143,436,509,149,3.5,33.8,11.9,218,1.18,0.27,0
05월 19일,7,1.3,,,,143,436,509,149,2.4,35.8,16.2,138,1.25,0.22,0
05월 19일,11,1.3,,24.5,50,143,436,509,149,2.4,,,80,,,
05월 19일,15,1.3,,,,179,545,636,187,2.4,35.3,16.4,205,1.15,0.24,2
05월 19일,19,1.3,,,,179,545,636,187,2.4,34.5,15.8,204,1.19,0.24,3
05월 19일,23,1.3,,,47.6,179,545,636,187,2.4,35.1,11.3,201,1.11,0.25,0
05월 20일,3,1.3,,,,179,545,636,187,2.4,35.24,12.76,215,1.185,0.264,0
05월 20일,7,1.3,,,,179,545,636,187,2.4,35,13.7,192,1.23,0.27,0
05월 20일,11,1.3,,,71.6,179,545,636,187,2.4,35,12.6,213,1.34,0.27,0
05월 20일,15,1.3,,,,179,545,636,187,2.4,34.1,10.7,177,1.38,0.27,3
05월 20일,19,1.3,,,,179,545,636,187,2.4,34,13.4,174,1.37,0.27,2
05월 20일,23,1.3,,13.7,55.3,179,545,636,187,2.4,34,10.4,165,1.43,0.33,2
05월 21일,3,1.3,,,,179,545,699,187,2.4,34.1,11.6,298,1.39,0.24,4
05월 21일,7,1.3,,,,179,545,699,187,2.4,34.1,10,251,0.95,0.24,2
05월 21일,11,1.3,,13.6,61.6,179,545,636,187,2.4,34.6,8.5,223,1.11,0.26,2
05월 21일,15,1.3,,,,179,545,636,187,2.4,34.8,13.8,215,0.91,0.24,3
05월 21일,19,1.3,,,,179,545,636,187,2.4,34.1,12.5,182,0.96,0.24,2
05월 21일,23,1.3,,,,179,545,636,187,2.4,33.7,10.5,200,0.94,0.22,2
05월 22일,3,1.3,,,,179,545,636,187,2.4,34,11.5,192,1.04,0.2,1
05월 22일,7,1.3,,,,179,545,636,187,2.4,33.8,8.9,229,1.06,0.21,1
05월 22일,11,1.3,,15.2,70.6,179,545,636,187,2.4,35.4,8.9,228,0.95,0.23,0
05월 22일,15,1.3,,,,179,545,636,187,2.4,34,10.6,212,0.95,0.23,2
